user_id,datetime,contest_id,old_rate,new_rate,perf
kaitk,1615719600.0,ahc001,0,172,1063
monnaou,1615719600.0,ahc001,0,172,1062
SDESTINY,1615719600.0,ahc001,0,171,1061
kakitamasziru,1615719600.0,ahc001,0,167,1050
itohdak,1615719600.0,ahc001,0,171,1059
KeiA,1615719600.0,ahc001,0,174,1067
Tomato_Fish,1615719600.0,ahc001,0,171,1060
first_vil,1615719600.0,ahc001,0,174,1066
NokonoKotlin,1615719600.0,ahc001,0,165,1045
Nanored,1615719600.0,ahc001,0,169,1055
yana87,1615719600.0,ahc001,0,168,1054
riano_,1615719600.0,ahc001,0,168,1053
gxy,1615719600.0,ahc001,0,168,1052
fjzzq2002,1615719600.0,ahc001,0,167,1051
syl659,1615719600.0,ahc001,0,171,1060
yawarakacream,1615719600.0,ahc001,0,175,1069
inaba3,1615719600.0,ahc001,0,170,1057
aonama,1615719600.0,ahc001,0,175,1069
ypnbs,1615719600.0,ahc001,0,167,1051
Plan8,1615719600.0,ahc001,0,164,1044
goryudyuma,1615719600.0,ahc001,0,195,1112
jutaro0428,1615719600.0,ahc001,0,148,1003
kit84,1615719600.0,ahc001,0,147,1000
abel,1615719600.0,ahc001,0,147,999
yuly3,1615719600.0,ahc001,0,147,999
mifu,1615719600.0,ahc001,0,146,998
kusa,1615719600.0,ahc001,0,146,997
kobae964,1615719600.0,ahc001,0,149,1005
agridrama,1615719600.0,ahc001,0,145,994
ponponpainful,1615719600.0,ahc001,0,148,1002
KKT89,1615719600.0,ahc001,0,150,1008
print,1615719600.0,ahc001,0,148,1001
dream132,1615719600.0,ahc001,0,149,1004
Isshii,1615719600.0,ahc001,0,144,991
ysystem,1615719600.0,ahc001,0,144,990
mds_boy,1615719600.0,ahc001,0,143,989
TrpFrog,1615719600.0,ahc001,0,143,988
Ente,1615719600.0,ahc001,0,142,987
agarai3,1615719600.0,ahc001,0,145,995
dew21ma,1615719600.0,ahc001,0,149,1006
tabae326,1615719600.0,ahc001,0,144,992
English_tan,1615719600.0,ahc001,0,153,1015
cumin,1615719600.0,ahc001,0,207,1136
shilov,1615719600.0,ahc001,0,206,1134
zrz0520,1615719600.0,ahc001,0,152,1013
soraie,1615719600.0,ahc001,0,157,1025
next_permutation,1615719600.0,ahc001,0,155,1022
marco_marticus,1615719600.0,ahc001,0,155,1021
dheryevo,1615719600.0,ahc001,0,155,1020
karinohito,1615719600.0,ahc001,0,154,1019
commy,1615719600.0,ahc001,0,154,1018
milkcoffee,1615719600.0,ahc001,0,150,1007
KumaTachiRen,1615719600.0,ahc001,0,153,1016
LoveMachine,1615719600.0,ahc001,0,156,1024
Tomo_Somei,1615719600.0,ahc001,0,154,1017
nishiwakki,1615719600.0,ahc001,0,156,1023
artechum,1615719600.0,ahc001,0,179,1079
daut,1615719600.0,ahc001,0,152,1012
jotp,1615719600.0,ahc001,0,151,1011
uuuu_s,1615719600.0,ahc001,0,151,1010
manta1130,1615719600.0,ahc001,0,151,1009
IHa,1615719600.0,ahc001,0,150,1008
patron,1615719600.0,ahc001,0,153,1016
Gperm,1615719600.0,ahc001,0,157,1025
suisen,1615719600.0,ahc001,0,152,1014
hte,1615719600.0,ahc001,0,175,1070
gorugo30,1615719600.0,ahc001,0,201,1124
paotan,1615719600.0,ahc001,0,181,1082
longrun,1615719600.0,ahc001,0,179,1078
cozy_sauna,1615719600.0,ahc001,0,197,1117
SmiteshP,1615719600.0,ahc001,0,209,1140
nishionyama,1615719600.0,ahc001,0,202,1126
kouta0528,1615719600.0,ahc001,0,201,1125
udon1206,1615719600.0,ahc001,0,205,1133
alvinvin,1615719600.0,ahc001,0,205,1132
shimisho,1615719600.0,ahc001,0,204,1131
sirogamichandayo,1615719600.0,ahc001,0,204,1131
davi_bart,1615719600.0,ahc001,0,204,1130
hoshiika,1615719600.0,ahc001,0,162,1039
to_omoT222,1615719600.0,ahc001,0,203,1129
emanon001,1615719600.0,ahc001,0,218,1158
